Timestamp (UTC),Value (mm)
2018-06-26 16:00:00,2
2018-06-27 16:00:00,2
2018-06-28 16:00:00,6
2018-06-29 16:00:00,4
2018-06-30 16:00:00,3
2018-07-01 16:00:00,4
2018-07-02 16:00:00,4
2018-07-03 16:00:00,3
2018-07-04 16:00:00,3
2018-07-05 16:00:00,3
2018-07-06 16:00:00,8
2018-07-07 16:00:00,5
2018-07-08 16:00:00,3
2018-07-09 16:00:00,4
2018-07-10 16:00:00,6
2018-07-11 16:00:00,3
2018-07-12 16:00:00,4
2018-07-13 16:00:00,5
2018-07-14 16:00:00,7
2018-07-15 16:00:00,3
2018-07-16 16:00:00,5
2018-07-17 16:00:00,6
2018-07-18 16:00:00,6
2018-07-19 16:00:00,6
2018-07-20 16:00:00,5
2018-07-21 16:00:00,2
2018-07-22 16:00:00,1
2018-07-23 16:00:00,2
2018-07-24 16:00:00,3
2018-07-25 16:00:00,4
2018-07-26 16:00:00,4
2018-07-27 16:00:00,2
2018-07-28 16:00:00,2
