Timestamp (UTC),Value (mm)
1993-05-01 16:00:00,481
1993-05-02 16:00:00,491
1993-05-03 16:00:00,470
1993-05-04 16:00:00,480
1993-05-05 16:00:00,492
1993-05-06 16:00:00,489
1993-05-07 16:00:00,480
1993-05-08 16:00:00,480
1993-05-09 16:00:00,475
1993-05-10 16:00:00,462
1993-05-11 16:00:00,445
1993-05-12 16:00:00,421
1993-05-13 16:00:00,399
1993-05-14 16:00:00,373
1993-05-15 16:00:00,357
1993-05-16 16:00:00,341
1993-05-17 16:00:00,324
1993-05-18 16:00:00,305
1993-05-19 16:00:00,286
1993-05-20 16:00:00,279
1993-05-21 16:00:00,274
1993-05-22 16:00:00,279
1993-05-23 16:00:00,269
1993-05-24 16:00:00,258
1993-05-25 16:00:00,238
1993-05-26 16:00:00,218
1993-05-27 16:00:00,197
1993-05-28 16:00:00,181
1993-05-29 16:00:00,167
1993-05-30 16:00:00,146
1993-05-31 16:00:00,124
1993-06-01 16:00:00,112
1993-06-02 16:00:00,94
1993-06-03 16:00:00,69
1993-06-04 16:00:00,42
1993-06-05 16:00:00,20
1993-06-06 16:00:00,8
1993-06-07 16:00:00,0
1993-06-08 16:00:00,0
1993-06-09 16:00:00,0
1993-06-10 16:00:00,0
1993-06-11 16:00:00,0
1993-06-12 16:00:00,0
1993-06-13 16:00:00,0
1993-06-14 16:00:00,0
1993-06-15 16:00:00,0
1993-06-16 16:00:00,0
1993-06-17 16:00:00,0
1993-06-18 16:00:00,0
1993-06-19 16:00:00,0
1993-06-20 16:00:00,0
1993-06-21 16:00:00,0
1993-06-22 16:00:00,0
1993-06-23 16:00:00,0
1993-06-24 16:00:00,0
1993-06-25 16:00:00,0
1993-06-26 16:00:00,0
1993-06-27 16:00:00,0
1993-06-28 16:00:00,0
1993-06-29 16:00:00,0
1993-06-30 16:00:00,0
1993-07-01 16:00:00,0
1993-07-02 16:00:00,0
1993-07-03 16:00:00,0
1993-07-04 16:00:00,0
1993-07-05 16:00:00,0
1993-07-06 16:00:00,0
1993-07-07 16:00:00,0
1993-07-08 16:00:00,0
1993-07-09 16:00:00,0
1993-07-10 16:00:00,0
1993-07-11 16:00:00,0
1993-07-12 16:00:00,0
1993-07-13 16:00:00,0
1993-07-14 16:00:00,0
1993-07-15 16:00:00,0
1993-07-16 16:00:00,0
1993-07-17 16:00:00,0
1993-07-18 16:00:00,0
1993-07-19 16:00:00,0
1993-07-20 16:00:00,0
1993-07-21 16:00:00,0
1993-07-22 16:00:00,0
1993-07-23 16:00:00,0
1993-07-24 16:00:00,0
1993-07-25 16:00:00,0
1993-07-26 16:00:00,0
1993-07-27 16:00:00,0
1993-07-28 16:00:00,0
1993-07-29 16:00:00,0
1993-07-30 16:00:00,0
1993-07-31 16:00:00,0
1993-08-01 16:00:00,0
1993-08-02 16:00:00,0
1993-08-03 16:00:00,0
1993-08-04 16:00:00,0
1993-08-05 16:00:00,0
1993-08-06 16:00:00,0
1993-08-07 16:00:00,0
1993-08-08 16:00:00,0
1993-08-09 16:00:00,0
1993-08-10 16:00:00,0
1993-08-11 16:00:00,0
1993-08-12 16:00:00,0
1993-08-13 16:00:00,0
1993-08-14 16:00:00,0
1993-08-15 16:00:00,0
1993-08-16 16:00:00,0
1993-08-17 16:00:00,0
1993-08-18 16:00:00,0
1993-08-19 16:00:00,0
1993-08-20 16:00:00,0
1993-08-21 16:00:00,0
1993-08-22 16:00:00,0
1993-08-23 16:00:00,0
1993-08-24 16:00:00,0
1993-08-25 16:00:00,0
1993-08-26 16:00:00,0
1993-08-27 16:00:00,0
1993-08-28 16:00:00,0
1993-08-29 16:00:00,0
1993-08-30 16:00:00,0
1993-08-31 16:00:00,0
1993-09-01 16:00:00,0
1993-09-02 16:00:00,0
1993-09-03 16:00:00,0
1993-09-04 16:00:00,0
1993-09-05 16:00:00,0
1993-09-06 16:00:00,0
1993-09-07 16:00:00,0
1993-09-08 16:00:00,0
1993-09-09 16:00:00,0
1993-09-10 16:00:00,0
1993-09-11 16:00:00,0
1993-09-12 16:00:00,0
1993-09-13 16:00:00,0
1993-09-14 16:00:00,0
1993-09-15 16:00:00,0
1993-09-16 16:00:00,0
1993-09-17 16:00:00,0
1993-09-18 16:00:00,0
1993-09-19 16:00:00,0
1993-09-20 16:00:00,0
1993-09-21 16:00:00,0
1993-09-22 16:00:00,0
1993-09-23 16:00:00,0
1993-09-24 16:00:00,0
1993-09-25 16:00:00,0
1993-09-26 16:00:00,0
1993-09-27 16:00:00,0
1993-09-28 16:00:00,0
1993-09-29 16:00:00,0
1993-09-30 16:00:00,0
1993-09-30 16:00:01,NaN
1995-10-01 15:59:59,NaN
1995-10-01 16:00:00,23
1995-10-02 16:00:00,23
1995-10-03 16:00:00,23
1995-10-04 16:00:00,26
1995-10-05 16:00:00,26
1995-10-06 16:00:00,26
1995-10-07 16:00:00,26
1995-10-08 16:00:00,34
1995-10-09 16:00:00,53
1995-10-10 16:00:00,64
1995-10-11 16:00:00,79
1995-10-12 16:00:00,83
1995-10-13 16:00:00,83
1995-10-14 16:00:00,86
1995-10-15 16:00:00,90
1995-10-16 16:00:00,94
1995-10-17 16:00:00,98
1995-10-18 16:00:00,98
1995-10-19 16:00:00,98
1995-10-20 16:00:00,105
1995-10-21 16:00:00,101
1995-10-22 16:00:00,105
1995-10-23 16:00:00,105
1995-10-24 16:00:00,109
1995-10-25 16:00:00,116
1995-10-26 16:00:00,120
1995-10-27 16:00:00,120
1995-10-28 16:00:00,120
1995-10-29 16:00:00,120
1995-10-30 16:00:00,120
1995-10-31 16:00:00,120
1995-11-01 16:00:00,120
1995-11-02 16:00:00,120
1995-11-03 16:00:00,120
1995-11-04 16:00:00,128
1995-11-05 16:00:00,131
1995-11-06 16:00:00,131
1995-11-07 16:00:00,158
1995-11-08 16:00:00,188
1995-11-09 16:00:00,188
1995-11-10 16:00:00,203
1995-11-11 16:00:00,210
1995-11-12 16:00:00,210
1995-11-13 16:00:00,229
1995-11-14 16:00:00,233
1995-11-15 16:00:00,236
1995-11-16 16:00:00,240
1995-11-17 16:00:00,259
1995-11-18 16:00:00,263
1995-11-19 16:00:00,266
1995-11-20 16:00:00,263
1995-11-21 16:00:00,263
1995-11-22 16:00:00,274
1995-11-23 16:00:00,293
1995-11-24 16:00:00,315
1995-11-25 16:00:00,319
1995-11-26 16:00:00,323
1995-11-27 16:00:00,330
1995-11-28 16:00:00,353
1995-11-29 16:00:00,390
1995-11-30 16:00:00,397
1995-12-01 16:00:00,405
1995-12-02 16:00:00,413
1995-12-03 16:00:00,435
1995-12-04 16:00:00,446
1995-12-05 16:00:00,446
1995-12-06 16:00:00,450
1995-12-07 16:00:00,450
1995-12-08 16:00:00,450
1995-12-09 16:00:00,461
1995-12-10 16:00:00,473
1995-12-11 16:00:00,480
